key,value
shapley.maleme_1941__heraklion_1941.lanchester.DENIAL,-0.02268333333333333
shapley.maleme_1941__heraklion_1941.lanchester.HOLD,-0.31443333333333334
shapley.maleme_1941__heraklion_1941.lanchester.MASS,-0.06751666666666666
shapley.maleme_1941__heraklion_1941.lanchester.RESPONSE,-0.12176666666666666
shapley.maleme_1941__heraklion_1941.lanchester.RISK,0.0
shapley.maleme_1941__hostomel_2022.crt.AIR,-0.08195833333333334
shapley.maleme_1941__hostomel_2022.crt.DENIAL,-0.18400000000000002
shapley.maleme_1941__hostomel_2022.crt.HOLD,0.2759583333333333
shapley.maleme_1941__hostomel_2022.crt.MASS,-0.07912499999999999
shapley.maleme_1941__hostomel_2022.crt.RESPONSE,-0.054000000000000006
shapley.maleme_1941__hostomel_2022.crt.RISK,-0.11437499999999999
shapley.maleme_1941__hostomel_2022.lanchester.AIR,-0.09684999999999999
shapley.maleme_1941__hostomel_2022.lanchester.DENIAL,-0.2771833333333334
shapley.maleme_1941__hostomel_2022.lanchester.HOLD,0.18595
shapley.maleme_1941__hostomel_2022.lanchester.MASS,-0.1707333333333333
shapley.maleme_1941__hostomel_2022.lanchester.RESPONSE,-0.1147
shapley.maleme_1941__hostomel_2022.lanchester.RISK,-0.18448333333333328
shapley.maleme_1941__rethymno_1941.crt.AIR,-0.0672916666666667
shapley.maleme_1941__rethymno_1941.crt.DENIAL,0.0
shapley.maleme_1941__rethymno_1941.crt.HOLD,-0.052291666666666674
shapley.maleme_1941__rethymno_1941.crt.MASS,-0.06854166666666667
shapley.maleme_1941__rethymno_1941.crt.RESPONSE,-0.044375000000000005
shapley.maleme_1941__rethymno_1941.crt.RISK,0.0
shapley.maleme_1941__rethymno_1941.lanchester.AIR,-0.09516666666666665
shapley.maleme_1941__rethymno_1941.lanchester.DENIAL,0.0
shapley.maleme_1941__rethymno_1941.lanchester.HOLD,-0.2886666666666667
shapley.maleme_1941__rethymno_1941.lanchester.MASS,-0.15533333333333335
shapley.maleme_1941__rethymno_1941.lanchester.RESPONSE,-0.1128333333333333
shapley.maleme_1941__rethymno_1941.lanchester.RISK,0.0
shapley.maleme_1941__ypenburg_1940.crt.AIR,-0.07891666666666668
shapley.maleme_1941__ypenburg_1940.crt.DENIAL,0.07108333333333333
shapley.maleme_1941__ypenburg_1940.crt.HOLD,0.28808333333333336
shapley.maleme_1941__ypenburg_1940.crt.MASS,-0.40979166666666667
shapley.maleme_1941__ypenburg_1940.crt.RESPONSE,-0.08458333333333334
shapley.maleme_1941__ypenburg_1940.crt.RISK,0.016625
shapley.maleme_1941__ypenburg_1940.lanchester.AIR,-0.07278333333333332
shapley.maleme_1941__ypenburg_1940.lanchester.DENIAL,0.027149999999999983
shapley.maleme_1941__ypenburg_1940.lanchester.HOLD,0.17475000000000002
shapley.maleme_1941__ypenburg_1940.lanchester.MASS,-0.5738
shapley.maleme_1941__ypenburg_1940.lanchester.RESPONSE,-0.1921166666666667
shapley.maleme_1941__ypenburg_1940.lanchester.RISK,0.02680000000000001
shapley.rethymno_1941__heraklion_1941.crt.AIR,-0.0017083333333333325
shapley.rethymno_1941__heraklion_1941.crt.DENIAL,-0.002125
shapley.rethymno_1941__heraklion_1941.crt.HOLD,-0.006708333333333335
shapley.rethymno_1941__heraklion_1941.crt.MASS,0.0035000000000000005
shapley.rethymno_1941__heraklion_1941.crt.RESPONSE,0.0020416666666666665
shapley.rethymno_1941__heraklion_1941.crt.RISK,0.0
shapley.rethymno_1941__heraklion_1941.lanchester.AIR,-0.0031833333333333336
shapley.rethymno_1941__heraklion_1941.lanchester.DENIAL,-0.0025999999999999986
shapley.rethymno_1941__heraklion_1941.lanchester.HOLD,-0.008933333333333335
shapley.rethymno_1941__heraklion_1941.lanchester.MASS,0.006733333333333333
shapley.rethymno_1941__heraklion_1941.lanchester.RESPONSE,0.001983333333333334
shapley.rethymno_1941__heraklion_1941.lanchester.RISK,0.0
shapley.rethymno_1941__hostomel_2022.crt.AIR,-0.010375
shapley.rethymno_1941__hostomel_2022.crt.DENIAL,-0.061291666666666675
shapley.rethymno_1941__hostomel_2022.crt.HOLD,0.17929166666666665
shapley.rethymno_1941__hostomel_2022.crt.MASS,-0.03166666666666667
shapley.rethymno_1941__hostomel_2022.crt.RESPONSE,-0.032875
shapley.rethymno_1941__hostomel_2022.crt.RISK,-0.060583333333333336
shapley.rethymno_1941__hostomel_2022.lanchester.AIR,-0.009533333333333331
shapley.rethymno_1941__hostomel_2022.lanchester.DENIAL,-0.07198333333333333
shapley.rethymno_1941__hostomel_2022.lanchester.HOLD,0.2018833333333333
shapley.rethymno_1941__hostomel_2022.lanchester.MASS,-0.03610000000000001
shapley.rethymno_1941__hostomel_2022.lanchester.RESPONSE,-0.028733333333333333
shapley.rethymno_1941__hostomel_2022.lanchester.RISK,-0.07153333333333332
shapley.rethymno_1941__maleme_1941.crt.AIR,0.06791666666666665
shapley.rethymno_1941__maleme_1941.crt.DENIAL,0.0
shapley.rethymno_1941__maleme_1941.crt.HOLD,0.19416666666666668
shapley.rethymno_1941__maleme_1941.crt.MASS,0.07583333333333334
shapley.rethymno_1941__maleme_1941.crt.RESPONSE,0.03708333333333334
shapley.rethymno_1941__maleme_1941.crt.RISK,0.0
shapley.rethymno_1941__maleme_1941.lanchester.AIR,0.07558333333333331
shapley.rethymno_1941__maleme_1941.lanchester.DENIAL,0.0
shapley.rethymno_1941__maleme_1941.lanchester.HOLD,0.38891666666666674
shapley.rethymno_1941__maleme_1941.lanchester.MASS,0.12825000000000003
shapley.rethymno_1941__maleme_1941.lanchester.RESPONSE,0.03425000000000001
shapley.rethymno_1941__maleme_1941.lanchester.RISK,0.0
shapley.rethymno_1941__ypenburg_1940.crt.AIR,0.005541666666666667
shapley.rethymno_1941__ypenburg_1940.crt.DENIAL,0.014250000000000002
shapley.rethymno_1941__ypenburg_1940.crt.HOLD,0.09112500000000003
shapley.rethymno_1941__ypenburg_1940.crt.MASS,-0.08183333333333333
shapley.rethymno_1941__ypenburg_1940.crt.RESPONSE,-0.060875000000000005
shapley.rethymno_1941__ypenburg_1940.crt.RISK,0.01679166666666667
shapley.rethymno_1941__ypenburg_1940.lanchester.AIR,0.00525
shapley.rethymno_1941__ypenburg_1940.lanchester.DENIAL,0.013399999999999999
shapley.rethymno_1941__ypenburg_1940.lanchester.HOLD,0.14978333333333332
shapley.rethymno_1941__ypenburg_1940.lanchester.MASS,-0.13541666666666666
shapley.rethymno_1941__ypenburg_1940.lanchester.RESPONSE,-0.06084999999999999
shapley.rethymno_1941__ypenburg_1940.lanchester.RISK,0.018833333333333337
shapley.ypenburg_1940__heraklion_1941.crt.AIR,0.011791666666666667
shapley.ypenburg_1940__heraklion_1941.crt.DENIAL,-0.019041666666666665
shapley.ypenburg_1940__heraklion_1941.crt.HOLD,-0.025083333333333336
shapley.ypenburg_1940__heraklion_1941.crt.MASS,0.023666666666666662
shapley.ypenburg_1940__heraklion_1941.crt.RESPONSE,0.0
shapley.ypenburg_1940__heraklion_1941.crt.RISK,-0.0038333333333333344
shapley.ypenburg_1940__heraklion_1941.lanchester.AIR,0.0056999999999999985
shapley.ypenburg_1940__heraklion_1941.lanchester.DENIAL,-0.010216666666666666
shapley.ypenburg_1940__heraklion_1941.lanchester.HOLD,-0.020966666666666668
shapley.ypenburg_1940__heraklion_1941.lanchester.MASS,0.01195
shapley.ypenburg_1940__heraklion_1941.lanchester.RESPONSE,0.0
shapley.ypenburg_1940__heraklion_1941.lanchester.RISK,-0.002466666666666666
shapley.ypenburg_1940__hostomel_2022.crt.AIR,0.021916666666666664
shapley.ypenburg_1940__hostomel_2022.crt.DENIAL,-0.054958333333333324
shapley.ypenburg_1940__hostomel_2022.crt.HOLD,0.04837500000000001
shapley.ypenburg_1940__hostomel_2022.crt.MASS,0.007749999999999999
shapley.ypenburg_1940__hostomel_2022.crt.RESPONSE,0.0
shapley.ypenburg_1940__hostomel_2022.crt.RISK,-0.035583333333333335
shapley.ypenburg_1940__hostomel_2022.lanchester.AIR,0.011649999999999995
shapley.ypenburg_1940__hostomel_2022.lanchester.DENIAL,-0.034100000000000005
shapley.ypenburg_1940__hostomel_2022.lanchester.HOLD,0.029233333333333333
shapley.ypenburg_1940__hostomel_2022.lanchester.MASS,0.002649999999999999
shapley.ypenburg_1940__hostomel_2022.lanchester.RESPONSE,0.0
shapley.ypenburg_1940__hostomel_2022.lanchester.RISK,-0.02343333333333333
shapley.ypenburg_1940__maleme_1941.crt.AIR,0.02270833333333333
shapley.ypenburg_1940__maleme_1941.crt.DENIAL,-0.020625
shapley.ypenburg_1940__maleme_1941.crt.HOLD,-0.04854166666666667
shapley.ypenburg_1940__maleme_1941.crt.MASS,0.045
shapley.ypenburg_1940__maleme_1941.crt.RESPONSE,0.0
shapley.ypenburg_1940__maleme_1941.crt.RISK,-0.011041666666666668
shapley.ypenburg_1940__maleme_1941.lanchester.AIR,0.01035
shapley.ypenburg_1940__maleme_1941.lanchester.DENIAL,-0.0089
