run,p.air.att.ingress_loss,p.air.att.approach_loss,p.air.att.suppression,p.air.att.interdiction,p.air.att.cas,p.mass.aircraft,p.mass.capacity,p.mass.dz_loss,p.mass.reserve_aircraft,p.mass.reserve_capacity,p.mass.reserve_dz,p.mass.t_reserve,p.hold.strength,p.hold.quality,p.hold.dug_in,p.hold.base_hazard,p.hold.ammo_out_h,p.hold.decision_h,p.hold.comms_loss,p.hold.fog,p.hold.night_moves,p.response.t_ca,p.response.strength,p.response.commit_h,p.response.withdraw_ratio,p.denial.obstacles0,p.denial.t_fires,p.denial.fire_intensity,p.denial.crater_rate,p.denial.demolish_rate,p.risk.tolerance,p.risk.land_contested,p.ctx.aircraft,p.ctx.troops_per_aircraft,p.ctx.wave1_t,p.ctx.wave2_t,p.ctx.loiter_h,p.ctx.t_relief,p.ctx.relief_strength,p.ctx.night_limited_air,p.ctx.wreck_obstacle,p.mech.kill_rate,p.mech.ratio_coeff,p.mech.casualty_coeff,p.mech.ammo_hazard,p.mech.go_width,p.mech.info_lag_h,p.mech.contested_risk,p.doctrine.hasty_defense,p.doctrine.clear_rate,m.landed,m.t_airbridge,m.airbridge,m.t_first_landing,m.transports_lost,m.t_control,m.attacker_ever_controls,m.attacker_lost_control,m.attacker_holds_end,m.defender_retakes,m.runway_end,m.losses_attacker,m.losses_defender
10,0.08958271089650696,0.050821785270937614,0.14382637567163692,0.012284425456679642,1.0964071351722768,20.0,15.0,0.0558262038902562,0.0,12.0,0.0,30.0,208.09481038766768,0.5155302855707323,1.3,0.010077860398772818,1.6520557927898776,0.0,0.0,0.0,0.0,7.716999824171985,558.2398112766673,9.991285117227909,2.0,0.7023699149787154,6.480576180465672,0.6850934467462446,0.0846906374482134,0.4480141270748169,0.030206223849377368,0.0,18.0,55.0,5.293682063887063,26.007776165762728,1.5,26.938497468332063,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,2.5,True,True,True,True,0.0,40.0,63.0
11,0.0833065244989514,0.05107950156596375,0.032850353476775895,0.07884886520571781,1.0114138988160346,20.0,15.0,0.04704842720157128,0.0,12.0,0.0,30.0,170.07657333616737,0.6162007488061901,1.3,0.025230144061808176,2.425946755256026,0.0,0.0,0.0,0.0,5.700063263114036,660.9522417803745,11.075497121515266,2.0,0.5973081492881875,6.31719300150625,0.7343782873051496,0.09573245705335667,0.3162418827565632,0.0558287580494733,0.0,18.0,55.0,5.957866004043799,27.3666128340886,1.5,26.982182345961913,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,3.0,True,True,True,True,0.0,86.0,81.0
12,0.07983132176706637,0.04635381649766504,0.14399824240390094,0.10667894078860966,1.0302623284600758,20.0,15.0,0.04703845194304122,0.0,12.0,0.0,30.0,196.2714381249286,0.6816219157731861,1.3,0.01967616024669122,2.3349320782245506,0.0,0.0,0.0,0.0,7.8398835304188825,423.5175751820057,13.723362347249914,2.0,0.6316507960817633,6.514804334923721,0.8446580119777383,0.10090652365437747,0.43272896721991616,0.07003051829979223,0.0,18.0,55.0,4.49761695914808,25.841940816077575,1.5,25.74757810911541,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,962.5,5.0,True,5.0,1,2.5,True,True,True,False,0.0,103.99999999999997,137.0
13,0.036471199658748496,0.029272566277562848,0.02329207975684291,0.06840437781018059,1.0220776815752466,20.0,15.0,0.04569938751060682,0.0,12.0,0.0,30.0,206.54040489295647,0.5213738939070853,1.3,0.01951097609086192,2.202295402051209,0.0,0.0,0.0,0.0,6.408137045489382,661.7904947620775,11.303470415147308,2.0,0.612848469664507,5.5804926267586055,0.7413723205766075,0.0651452348670857,0.38319891139966145,0.07002543947669579,0.0,18.0,55.0,5.815007752883796,27.22912855661241,1.5,25.149557755933568,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,0.0,True,True,True,True,0.0,186.0,248.0
14,0.0701178948943041,0.05224641143815317,0.10751139782559727,0.03967929345022847,1.0367562228497578,20.0,15.0,0.07573058039150538,0.0,12.0,0.0,30.0,164.4806868405647,0.6501037220752719,1.3,0.008671331902937668,1.630526069133948,0.0,0.0,0.0,0.0,6.4121426868263836,424.2320411800755,9.936270014365762,2.0,0.6722877769259997,6.985958458400828,0.6552847679013815,0.09125968286894304,0.5360689773660954,0.06738872353775603,0.0,18.0,55.0,4.614860945624014,24.97668243715096,1.5,26.215214578806606,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,990.0,5.5,True,5.5,0,2.25,True,False,True,False,0.0,4.0,9.0
15,0.08817056434903556,0.039093437680814205,0.12627702250132297,0.04407844592706933,1.0937248314606103,20.0,15.0,0.0894625295655337,0.0,12.0,0.0,30.0,156.62401433978948,0.5457308092893332,1.3,0.0006228668206770316,2.7460107940564296,0.0,0.0,0.0,0.0,5.6034177696773675,723.1724559075426,13.354266734429027,2.0,0.7365623502040144,5.501678391950771,0.655016116369263,0.09333134986594163,0.4980962801818898,0.05422025205328039,0.0,18.0,55.0,3.742251195085064,27.85376935150518,1.5,21.852225235866243,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,2.75,True,True,False,True,0.0,162.0,235.0
16,0.05460202996234872,0.0451540110377704,0.19813422451563079,0.1385396962420684,1.038306323726725,20.0,15.0,0.042779233121491275,0.0,12.0,0.0,30.0,154.1443301881991,0.6328449038033568,1.3,0.009767798240299509,2.622641287325743,0.0,0.0,0.0,0.0,5.727104267748838,861.6849022571862,10.187439580277339,2.0,0.6243683035417419,6.771667784236351,0.9637938178097396,0.1195037648409305,0.5667906000522469,0.07522812313755103,0.0,18.0,55.0,4.160236101524568,25.196595522676787,1.5,25.433158180719815,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,4.0,True,True,True,True,0.0,68.0,58.0
17,0.08518906912416407,0.03172189879070366,0.038169855010240485,0.036460785461513275,1.004865469223429,20.0,15.0,0.0930343298924875,0.0,12.0,0.0,30.0,158.32473911463262,0.5929418357935187,1.3,0.028958632974947413,1.8803039769482592,0.0,0.0,0.0,0.0,7.322054162476855,474.63806468159834,9.361890214976174,2.0,0.6074018070423479,6.904370161204706,0.6537360189934996,0.0845173529484508,0.5025129222805871,0.04319194529642864,0.0,18.0,55.0,5.909280044429169,24.53638795172726,1.5,26.955948473437875,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,962.5,6.0,True,6.0,1,2.0,True,True,True,False,0.0,15.000000000000028,8.0
18,0.07090919444517974,0.04955490592098824,0.053159674973802584,0.06899955033858875,1.0828035912590679,20.0,15.0,0.06258958673929219,0.0,12.0,0.0,30.0,197.3594583375927,0.6860179703312592,1.3,0.005235838998627742,1.9057293036895073,0.0,0.0,0.0,0.0,7.852552925503701,871.7117023061677,13.354868205611737,2.0,0.7057434106570887,4.754221913194494,0.7862773403927199,0.08160763275783642,0.5840081452962027,0.03431846266820701,0.0,18.0,55.0,4.761135485306269,26.917038757693533,1.5,25.53114816239415,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,2.0,True,True,False,True,0.0,293.0,229.0
19,0.07136635025553033,0.04975508470200826,0.15292448306907047,0.07770196490209866,1.0433970291823458,20.0,15.0,0.050211012894755075,0.0,12.0,0.0,30.0,213.26087299248337,0.6384856215446036,1.3,0.024643732586924726,2.585724929402007,0.0,0.0,0.0,0.0,7.564292131183525,431.5037343135735,12.968550749742576,2.0,0.736782813879101,6.218223008885939,0.7321645825975517,0.11988382902846717,0.32269064377719847,0.06403261528726081,0.0,18.0,55.0,4.744618160862972,24.89411286015272,1.5,23.766526690283808,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,2.75,True,True,True,True,0.0,10.0,21.0
